axis,start_time,end_time,duration_sec,peak_resid,label
Axis #2,2022-10-18 03:02:58.357000+00:00,2022-10-18 03:02:58.357000+00:00,0.0,17.8156,WARNING
Axis #1,2022-10-18 03:03:04.030000+00:00,2022-10-18 03:03:04.030000+00:00,0.0,4.5132,WARNING
Axis #6,2022-10-18 03:03:36.177000+00:00,2022-10-18 03:03:36.177000+00:00,0.0,4.6085,WARNING
Axis #6,2022-10-18 03:04:04.542000+00:00,2022-10-18 03:04:04.542000+00:00,0.0,3.6438,WARNING
Axis #8,2022-10-18 03:04:04.542000+00:00,2022-10-18 03:04:04.542000+00:00,0.0,1.0343,WARNING
Axis #4,2022-10-18 03:04:06.433000+00:00,2022-10-18 03:04:06.433000+00:00,0.0,3.5086,WARNING
Axis #3,2022-10-18 03:04:13.997000+00:00,2022-10-18 03:04:13.997000+00:00,0.0,10.1704,WARNING
Axis #1,2022-10-18 03:04:19.670000+00:00,2022-10-18 03:04:19.670000+00:00,0.0,5.7021,WARNING
Axis #8,2022-10-18 03:04:27.234000+00:00,2022-10-18 03:04:27.234000+00:00,0.0,1.25,WARNING
Axis #4,2022-10-18 03:04:40.471000+00:00,2022-10-18 03:04:40.471000+00:00,0.0,3.8308,WARNING
Axis #6,2022-10-18 03:04:48.035000+00:00,2022-10-18 03:04:48.035000+00:00,0.0,3.6246,WARNING
Axis #4,2022-10-18 03:05:03.163000+00:00,2022-10-18 03:05:03.163000+00:00,0.0,3.9921,WARNING
Axis #1,2022-10-18 03:05:08.836000+00:00,2022-10-18 03:05:08.836000+00:00,0.0,4.815,WARNING
Axis #7,2022-10-18 03:05:16.400000+00:00,2022-10-18 03:05:16.400000+00:00,0.0,5.2468,WARNING
Axis #5,2022-10-18 03:05:22.073000+00:00,2022-10-18 03:05:22.073000+00:00,0.0,6.2176,WARNING
Axis #1,2022-10-18 03:05:39.092000+00:00,2022-10-18 03:05:39.092000+00:00,0.0,4.2171,WARNING
Axis #2,2022-10-18 03:05:40.983000+00:00,2022-10-18 03:05:40.983000+00:00,0.0,16.3732,WARNING
Axis #3,2022-10-18 03:05:48.547000+00:00,2022-10-18 03:05:48.547000+00:00,0.0,12.0905,WARNING
Axis #3,2022-10-18 03:05:54.220000+00:00,2022-10-18 03:05:54.220000+00:00,0.0,11.0943,WARNING
Axis #1,2022-10-18 03:05:56.111000+00:00,2022-10-18 03:05:56.111000+00:00,0.0,4.6952,WARNING
Axis #1,2022-10-18 03:05:59.893000+00:00,2022-10-18 03:05:59.893000+00:00,0.0,4.5231,WARNING
Axis #7,2022-10-18 03:06:01.784000+00:00,2022-10-18 03:06:01.784000+00:00,0.0,5.1664,WARNING
Axis #2,2022-10-18 03:06:33.931000+00:00,2022-10-18 03:06:33.931000+00:00,0.0,15.6881,WARNING
Axis #3,2022-10-18 03:06:52.841000+00:00,2022-10-18 03:06:52.841000+00:00,0.0,10.8737,WARNING
Axis #7,2022-10-18 03:07:04.187000+00:00,2022-10-18 03:07:04.187000+00:00,0.0,5.2368,WARNING
Axis #6,2022-10-18 03:07:06.078000+00:00,2022-10-18 03:07:06.078000+00:00,0.0,3.9323,WARNING
Axis #1,2022-10-18 03:07:13.642000+00:00,2022-10-18 03:07:13.642000+00:00,0.0,5.068,WARNING
Axis #4,2022-10-18 03:07:23.097000+00:00,2022-10-18 03:07:23.097000+00:00,0.0,3.0559,WARNING
Axis #4,2022-10-18 03:07:40.116000+00:00,2022-10-18 03:07:40.116000+00:00,0.0,4.3645,WARNING
Axis #4,2022-10-18 03:07:49.571000+00:00,2022-10-18 03:07:49.571000+00:00,0.0,3.0428,WARNING
Axis #4,2022-10-18 03:08:23.609000+00:00,2022-10-18 03:08:23.609000+00:00,0.0,3.7619,WARNING
Axis #3,2022-10-18 03:08:31.173000+00:00,2022-10-18 03:08:31.173000+00:00,0.0,10.4097,WARNING
Axis #7,2022-10-18 03:08:34.955000+00:00,2022-10-18 03:08:34.955000+00:00,0.0,4.5035,WARNING
Axis #1,2022-10-18 03:09:07.102000+00:00,2022-10-18 03:09:07.102000+00:00,0.0,4.3287,WARNING
Axis #7,2022-10-18 03:09:07.102000+00:00,2022-10-18 03:09:07.102000+00:00,0.0,4.6544,WARNING
Axis #1,2022-10-18 03:09:35.467000+00:00,2022-10-18 03:09:35.467000+00:00,0.0,5.2822,WARNING
Axis #4,2022-10-18 03:09:35.467000+00:00,2022-10-18 03:09:35.467000+00:00,0.0,3.1251,WARNING
Axis #4,2022-10-18 03:09:39.249000+00:00,2022-10-18 03:09:39.249000+00:00,0.0,4.1995,WARNING
Axis #5,2022-10-18 03:09:39.249000+00:00,2022-10-18 03:09:41.140000+00:00,1.89,5.1157,WARNING
Axis #4,2022-10-18 03:09:52.486000+00:00,2022-10-18 03:09:52.486000+00:00,0.0,2.9814,WARNING
Axis #3,2022-10-18 03:09:58.159000+00:00,2022-10-18 03:09:58.159000+00:00,0.0,10.17,WARNING
Axis #2,2022-10-18 03:10:01.941000+00:00,2022-10-18 03:10:01.941000+00:00,0.0,13.8977,WARNING
Axis #5,2022-10-18 03:10:05.723000+00:00,2022-10-18 03:10:05.723000+00:00,0.0,4.971,WARNING
Axis #1,2022-10-18 03:10:09.505000+00:00,2022-10-18 03:10:09.505000+00:00,0.0,4.4474,WARNING
Axis #4,2022-10-18 03:10:15.178000+00:00,2022-10-18 03:10:15.178000+00:00,0.0,3.4687,WARNING
Axis #7,2022-10-18 03:10:26.524000+00:00,2022-10-18 03:10:28.415000+00:00,1.89,4.6901,WARNING
Axis #6,2022-10-18 03:10:32.197000+00:00,2022-10-18 03:10:32.197000+00:00,0.0,4.4251,WARNING
Axis #3,2022-10-18 03:10:52.998000+00:00,2022-10-18 03:10:52.998000+00:00,0.0,16.6339,WARNING
Axis #1,2022-10-18 03:11:04.344000+00:00,2022-10-18 03:11:04.344000+00:00,0.0,5.5658,WARNING
Axis #1,2022-10-18 03:11:13.799000+00:00,2022-10-18 03:11:13.799000+00:00,0.0,5.0747,WARNING
Axis #2,2022-10-18 03:11:13.799000+00:00,2022-10-18 03:11:13.799000+00:00,0.0,13.7176,WARNING
Axis #3,2022-10-18 03:11:17.581000+00:00,2022-10-18 03:11:17.581000+00:00,0.0,10.6526,WARNING
Axis #4,2022-10-18 03:11:17.581000+00:00,2022-10-18 03:11:17.581000+00:00,0.0,3.0774,WARNING
Axis #7,2022-10-18 03:11:38.382000+00:00,2022-10-18 03:11:38.382000+00:00,0.0,4.7587,WARNING
Axis #1,2022-10-18 03:11:47.837000+00:00,2022-10-18 03:11:47.837000+00:00,0.0,6.5456,WARNING
Axis #2,2022-10-18 03:11:55.401000+00:00,2022-10-18 03:11:55.401000+00:00,0.0,16.3106,WARNING
Axis #5,2022-10-18 03:12:02.965000+00:00,2022-10-18 03:12:02.965000+00:00,0.0,5.2287,WARNING
Axis #6,2022-10-18 03:12:06.747000+00:00,2022-10-18 03:12:06.747000+00:00,0.0,3.791,WARNING
Axis #8,2022-10-18 03:12:06.747000+00:00,2022-10-18 03:12:06.747000+00:00,0.0,0.8557,WARNING
Axis #2,2022-10-18 03:12:14.311000+00:00,2022-10-18 03:12:14.311000+00:00,0.0,16.9209,WARNING
Axis #8,2022-10-18 03:12:14.311000+00:00,2022-10-18 03:12:14.311000+00:00,0.0,0.9924,WARNING
Axis #7,2022-10-18 03:12:16.202000+00:00,2022-10-18 03:12:16.202000+00:00,0.0,4.211,WARNING
Axis #5,2022-10-18 03:12:29.439000+00:00,2022-10-18 03:12:29.439000+00:00,0.0,4.2356,WARNING
Axis #3,2022-10-18 03:12:33.221000+00:00,2022-10-18 03:12:33.221000+00:00,0.0,13.8434,WARNING
Axis #8,2022-10-18 03:12:33.221000+00:00,2022-10-18 03:12:33.221000+00:00,0.0,0.9384,WARNING
Axis #5,2022-10-18 03:13:11.041000+00:00,2022-10-18 03:13:11.041000+00:00,0.0,5.846,WARNING
Axis #1,2022-10-18 03:13:22.387000+00:00,2022-10-18 03:13:22.387000+00:00,0.0,5.1053,WARNING
Axis #2,2022-10-18 03:13:28.060000+00:00,2022-10-18 03:13:28.060000+00:00,0.0,14.1451,WARNING
Axis #4,2022-10-18 03:13:52.643000+00:00,2022-10-18 03:13:52.643000+00:00,0.0,3.3652,WARNING
Axis #3,2022-10-18 03:14:00.207000+00:00,2022-10-18 03:14:00.207000+00:00,0.0,11.1759,WARNING
Axis #3,2022-10-18 03:14:03.989000+00:00,2022-10-18 03:14:03.989000+00:00,0.0,11.894,WARNING
Axis #5,2022-10-18 03:14:24.790000+00:00,2022-10-18 03:14:24.790000+00:00,0.0,4.1936,WARNING
Axis #4,2022-10-18 03:15:04.501000+00:00,2022-10-18 03:15:04.501000+00:00,0.0,3.6996,WARNING
Axis #5,2022-10-18 03:15:06.392000+00:00,2022-10-18 03:15:06.392000+00:00,0.0,4.192,WARNING
Axis #1,2022-10-18 03:15:30.975000+00:00,2022-10-18 03:15:30.975000+00:00,0.0,5.7248,WARNING
Axis #8,2022-10-18 03:15:36.648000+00:00,2022-10-18 03:15:36.648000+00:00,0.0,0.8596,WARNING
Axis #8,2022-10-18 03:15:40.430000+00:00,2022-10-18 03:15:40.430000+00:00,0.0,1.0703,WARNING
Axis #4,2022-10-18 03:15:51.776000+00:00,2022-10-18 03:15:51.776000+00:00,0.0,3.5438,WARNING
Axis #7,2022-10-18 03:15:59.340000+00:00,2022-10-18 03:15:59.340000+00:00,0.0,4.3685,WARNING
Axis #5,2022-10-18 03:16:01.231000+00:00,2022-10-18 03:16:01.231000+00:00,0.0,5.1604,WARNING
Axis #1,2022-10-18 03:16:06.904000+00:00,2022-10-18 03:16:06.904000+00:00,0.0,4.426,WARNING
Axis #3,2022-10-18 03:16:22.032000+00:00,2022-10-18 03:16:22.032000+00:00,0.0,10.8639,WARNING
Axis #2,2022-10-18 03:17:18.762000+00:00,2022-10-18 03:17:18.762000+00:00,0.0,16.8695,WARNING
Axis #1,2022-10-18 03:17:24.435000+00:00,2022-10-18 03:17:24.435000+00:00,0.0,4.2649,WARNING
Axis #8,2022-10-18 03:17:31.999000+00:00,2022-10-18 03:17:31.999000+00:00,0.0,1.0341,WARNING
Axis #1,2022-10-18 03:17:43.345000+00:00,2022-10-18 03:17:43.345000+00:00,0.0,4.2254,WARNING
Axis #8,2022-10-18 03:17:45.236000+00:00,2022-10-18 03:17:45.236000+00:00,0.0,0.8436,WARNING
Axis #6,2022-10-18 03:18:04.146000+00:00,2022-10-18 03:18:04.146000+00:00,0.0,3.8582,WARNING
Axis #6,2022-10-18 03:18:17.383000+00:00,2022-10-18 03:18:17.383000+00:00,0.0,3.8086,WARNING
Axis #7,2022-10-18 03:18:28.729000+00:00,2022-10-18 03:18:28.729000+00:00,0.0,5.3762,WARNING
Axis #8,2022-10-18 03:18:53.312000+00:00,2022-10-18 03:18:53.312000+00:00,0.0,0.8501,WARNING
Axis #8,2022-10-18 03:19:00.876000+00:00,2022-10-18 03:19:00.876000+00:00,0.0,0.9537,WARNING
Axis #4,2022-10-18 03:19:10.331000+00:00,2022-10-18 03:19:12.222000+00:00,1.89,3.9378,WARNING
Axis #1,2022-10-18 03:19:14.113000+00:00,2022-10-18 03:19:14.113000+00:00,0.0,4.2264,WARNING
Axis #2,2022-10-18 03:19:29.241000+00:00,2022-10-18 03:19:29.241000+00:00,0.0,18.8577,WARNING
Axis #3,2022-10-18 03:19:31.132000+00:00,2022-10-18 03:19:31.132000+00:00,0.0,14.3404,WARNING
Axis #1,2022-10-18 03:19:40.587000+00:00,2022-10-18 03:19:40.587000+00:00,0.0,5.3834,WARNING
Axis #1,2022-10-18 03:19:57.606000+00:00,2022-10-18 03:19:57.606000+00:00,0.0,5.4355,WARNING
Axis #1,2022-10-18 03:20:20.298000+00:00,2022-10-18 03:20:20.298000+00:00,0.0,4.7503,WARNING
Axis #2,2022-10-18 03:20:20.298000+00:00,2022-10-18 03:20:20.298000+00:00,0.0,19.0968,WARNING
Axis #8,2022-10-18 03:20:24.080000+00:00,2022-10-18 03:20:24.080000+00:00,0.0,0.8412,WARNING
Axis #4,2022-10-18 03:20:50.554000+00:00,2022-10-18 03:20:50.554000+00:00,0.0,4.563,WARNING
Axis #2,2022-10-18 03:21:00.009000+00:00,2022-10-18 03:21:00.009000+00:00,0.0,16.5878,WARNING
Axis #1,2022-10-18 03:21:22.701000+00:00,2022-10-18 03:21:22.701000+00:00,0.0,5.0998,WARNING
Axis #7,2022-10-18 03:21:47.284000+00:00,2022-10-18 03:21:47.284000+00:00,0.0,5.8937,WARNING
Axis #3,2022-10-18 03:21:49.175000+00:00,2022-10-18 03:21:49.175000+00:00,0.0,11.344,WARNING
Axis #8,2022-10-18 03:21:51.066000+00:00,2022-10-18 03:21:51.066000+00:00,0.0,0.8811,WARNING
Axis #7,2022-10-18 03:21:54.848000+00:00,2022-10-18 03:21:54.848000+00:00,0.0,4.2726,WARNING
Axis #4,2022-10-18 03:21:56.739000+00:00,2022-10-18 03:21:56.739000+00:00,0.0,3.955,WARNING
Axis #6,2022-10-18 03:21:58.630000+00:00,2022-10-18 03:21:58.630000+00:00,0.0,4.5315,WARNING
Axis #8,2022-10-18 03:22:09.976000+00:00,2022-10-18 03:22:09.976000+00:00,0.0,1.0396,WARNING
Axis #3,2022-10-18 03:22:28.886000+00:00,2022-10-18 03:22:28.886000+00:00,0.0,12.8898,WARNING
Axis #7,2022-10-18 03:22:36.450000+00:00,2022-10-18 03:22:36.450000+00:00,0.0,4.4957,WARNING
Axis #2,2022-10-18 03:22:51.578000+00:00,2022-10-18 03:22:51.578000+00:00,0.0,16.698,WARNING
Axis #7,2022-10-18 03:22:53.469000+00:00,2022-10-18 03:22:53.469000+00:00,0.0,4.313,WARNING
Axis #8,2022-10-18 03:22:57.251000+00:00,2022-10-18 03:22:57.251000+00:00,0.0,1.3067,WARNING
